learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
580000.0,111.600076083,1.4303461052887883E-5,580000.0,84.6,69.25411276153969,82.77404921700223,68.9516129032258,580000.0,495632.0
581000.0,111.800306919,1.432913472133358E-5,581000.0,84.7,69.58226307962687,83.09392265193371,68.5185185185185,581000.0,495632.0
582000.0,112.01337304,1.4356454134551055E-5,582000.0,86.0,71.90470074492679,84.56449834619625,71.6024340770791,582000.0,495632.0
583000.0,112.203778392,1.4380867975971234E-5,583000.0,84.39999999999999,68.88959795788129,82.83828382838283,68.73747494989979,583000.0,495632.0
584000.0,112.40508442,1.4406679505914564E-5,584000.0,82.69999999999999,65.43401293127562,80.49605411499435,65.19114688128772,584000.0,495632.0
585000.0,112.603599709,1.443213320631857E-5,585000.0,83.0,65.82502412351238,81.02678571428571,65.51724137931033,585000.0,495632.0
586000.0,112.815849937,1.4459348005447688E-5,586000.0,82.39999999999999,64.68983227670331,80.18018018018017,64.37246963562751,586000.0,495632.0
587000.0,113.014351531,1.4484799949873961E-5,587000.0,84.1,67.90239096906517,82.48898678414098,66.94386694386694,587000.0,495632.0
588000.0,113.211658107,1.4510098668670599E-5,588000.0,83.1,66.45361070308468,81.30530973451327,66.33466135458167,588000.0,495632.0
589000.0,113.405165632,1.4534910271807477E-5,589000.0,83.6,67.11911301802434,81.57303370786516,67.06827309236947,589000.0,495632.0
590000.0,113.606323098,1.4560702753078745E-5,590000.0,83.7,67.4975074775673,82.04845814977973,67.07070707070706,590000.0,495632.0
591000.0,113.817800216,1.4587818423770862E-5,591000.0,87.0,73.9678242307492,86.1407249466951,73.68421052631578,591000.0,495632.0
592000.0,114.029612193,1.4614977030202119E-5,592000.0,84.7,69.30546081932351,82.77027027027026,68.90243902439023,592000.0,495632.0
593000.0,114.229449624,1.4640600256119897E-5,593000.0,85.1,70.12183873011799,83.44444444444444,69.83805668016194,593000.0,495632.0
594000.0,114.430196208,1.4666340053956141E-5,594000.0,84.8,69.54933008526186,83.07349665924276,69.16835699797159,594000.0,495632.0
595000.0,114.629039651,1.4691835830381819E-5,595000.0,84.1,68.15567269639338,82.17488789237667,67.94354838709677,595000.0,495632.0
596000.0,114.849233288,1.4720069136215842E-5,596000.0,84.3,68.61556667892725,82.70925110132158,68.15415821501014,596000.0,495632.0
597000.0,115.05009691,1.4745823940705745E-5,597000.0,85.3,70.54108216432866,83.59375,70.71713147410358,597000.0,495632.0
598000.0,115.24750777,1.477113603083366E-5,598000.0,83.0,66.11669410550066,81.1529933481153,65.99999999999999,598000.0,495632.0
599000.0,115.463479126,1.4798861477474534E-5,599000.0,86.0,72.02506554127501,84.86486486486487,71.13402061855669,599000.0,496232.0
600000.0,115.656527423,1.4823644163274706E-5,600000.0,84.6,69.18829155078929,81.46811070998797,65.77777777777777,600000.0,496232.0
601000.0,115.83510574,1.4846569257096873E-5,601000.0,82.0,63.95674809771725,77.7227722772277,63.78269617706236,601000.0,496232.0
602000.0,115.995682239,1.4867183357213014E-5,602000.0,82.3,64.57903078622545,80.73993471164309,62.260127931769716,602000.0,496232.0
603000.0,116.152860106,1.488733675878179E-5,603000.0,80.80000000000001,61.554480504917834,78.69034406215317,61.75298804780878,603000.0,495632.0
604000.0,116.305767891,1.4906942648929777E-5,604000.0,81.3,62.64691547416443,79.42794279427943,62.06896551724137,604000.0,495632.0
605000.0,116.464518742,1.492729773906208E-5,605000.0,83.8,67.35121626796186,82.35294117647058,66.80327868852459,605000.0,495632.0
